id,thread_id,sentence
1,0,Colaboratory https://colab.research.google.com/notebooks/intro.ipynb  ... 🧵
1,1,Colaboratory is a free Jupyter notebook environment that runs in the cloud. Your notebooks get stored on Google Drive.
1,2,"The great advantage is that you don’t have to install anything (however, for some features you need a Google account) on your system to use it. You can perform specific computations during data analysis with pre-installed Python libraries and gives you access to accelerated hardware for free (e.g. GPUs and TPUs)."
1,3,For this and other projects related to #Software #DataAnalysis visit https://openneuroscience.com
10,0,Heuristic Spike Sorting Tuner (HSST) https://github.com/davidbjanes/hsst  ... 🧵
10,1,Extracellular microelectrodes frequently record neural activity from more than one neuron in the vicinity of the electrode.
10,2,"The process of labeling each recorded spike waveform with the identity of its source neuron is called spike sorting and is often approached from an abstracted statistical perspective. However, these approaches do not consider neurophysiological realities and may ignore important features that could improve the accuracy of these methods."
10,3,"Further, standard algorithms typically require selection of at least one free parameter, which can have significant effects on the quality of the output."
10,4,We describe a Heuristic Spike Sorting Tuner (HSST) that determines the optimal choice of the free parameters for a given spike sorting algorithm based on the neurophysiological qualification of unit isolation and signal discrimination. A set of heuristic metrics are used to score the output of a spike sorting algorithm over a range of free parameters resulting in optimal sorting quality.
10,5,"We demonstrate that these metrics can be used to tune parameters in several spike sorting algorithms. The HSST algorithm shows robustness to variations in signal to noise ratio, number and relative size of units per channel."
10,6,"Moreover, the HSST algorithm is computationally efficient, operates unsupervised, and is parallelizable for batch processing."
10,7,For this and other projects related to #Software #DataAnalysis #ComputationalNeuroscience visit https://openneuroscience.com
100,0,CLIJ2 https://clij.github.io/  ... 🧵
100,1,"CLIJ2 is a GPU-accelerated image processing library for ImageJ/Fiji, Icy, Matlab and Java based on OpenCL."
100,2,"It comes with hundreds of operations for filtering, binarizing, labeling, measuring in images, projections, transformations and mathematical operations for images."
100,3,For this and other projects related to #Software #DataAnalysis visit https://openneuroscience.com
101,0,MNE-Python https://mne.tools  ... 🧵
101,1,MNE-Python is an open-source Python module for neuroscience data analysis.
101,2,"It implements many neuroscience-specific algorithms and statistical tools; has rich visualization capabilities that are both interactive and fully scriptable (for reproducibility); and integrates easily with general-purpose libraries like SciPy, Scikit-learn, and TensorFlow."
101,3,For this and other projects related to #Microscopes #Benchtop visit https://openneuroscience.com
102,0,morphologica https://github.com/ABRG-Models/morphologica  ... 🧵
102,1,morphologica is a header-only C++ library which provides simulation support facilities for simulations of dynamical systems.
102,2,"It helps with:  * Configuration: morphologica allows you to easily set up a simulation parameter configuration system, using the JSON reading and writing abilities of morph::Config. * Saving data from your simulation. morphologica provides a set of easy-to-use convenience wrappers (morph::HdfData) around the HDF5 C API."
102,3,"By saving data in a standard format, it is easy to access simulation data in python, MATLAB or Octave for analysis and graphing. * Visualizing your model while it runs."
102,4,"A modern OpenGL visualization scheme called morph::Visual provides the ability to visualise hex & Cartesian grids, surfaces, scatter plots and quiver plots with minimal processing overhead."
102,5,For this and other projects related to #Hardware #AnimalElectrophysiology #Benchtop visit https://openneuroscience.com
103,0,lab.js https://lab.js.org  ... 🧵
103,1,"lab.js makes online experimentation easy. It's a free, open, online study builder and data collection framework for the behavioral, neuro- and cognitive sciences."
103,2,"Studies built with lab.js run in the laboratory as well as online, across a wide variety of data collection platforms, and provide excellent performance for all modes of stimulus presentation."
103,3,For this and other projects related to #Benchtop #Hardware #ElectricStimulation visit https://openneuroscience.com
104,0,EASI-FISH https://github.com/multiFISH/EASI-FISH  ... 🧵
104,1,"This workflow is used to analyze large-scale, multi-round, high-resolution image data acquired using EASI-FISH (Expansion-Assisted Iterative Fluorescence In Situ Hybridization)."
104,2,"It takes advantage of the n5 filesystem to allow for rapid and parallel data reading and writing. It performs automated image stitching, distributed and highly accurate multi-round image registration, 3D cell segmentation, and distributed spot detection."
104,3,We also envision this workflow being adapted for analysis of other image-based spatial transcriptomic data. Check the pre-print here https://www.biorxiv.org/content/10.1101/2021.03.08.434304v1
104,4,For this and other projects related to #Microscopes #Hardware #Software visit https://openneuroscience.com
105,0,Feeding Experimentation Device ver3 (FED3) https://github.com/KravitzLabDevices/FED3  ... 🧵
105,1,FED3 is an open-source battery-powered device for home-cage training of mice in operant tasks. FED3 can be 3D printed and the control code is open-source and can be modified.
105,2,"The code is written in the Arduino language and is run on an Adafruit Feather M0 Adalogger microcontroller inside of FED3. Mice interact with FED3 through two nose-pokes and FED3 responds with visual stimuli, auditory stimuli, and by dispensing pellets."
105,3,"FED3 also has an analog output that allows it to synchronize with and control external equipment such as lasers or brain recording systems. A screen provides feedback to the user, and all behavioral events are logged to an on-board microSD card."
105,4,"The default code includes multiple built-in programs but FED3 is open-source and hackable, and can be easily modified to perform other tasks."
105,5,For this and other projects related to #Other visit https://openneuroscience.com
106,0,Non-Telecentric 2P microscopy for 3D random access mesoscale imaging (nTCscope) https://github.com/BadenLab/nTCscope  ... 🧵
106,1,"Ultra-low-cost, easily implemented and flexible two-photon scanning microscopy modification offering a several-fold expanded three-dimensional field of view that also maintains single-cell resolution."
106,2,"Application of our system for imaging neuronal activity has been demonstrated on mice, zebrafish and fruit flies"
106,3,For this and other projects related to #DataRepositories #ComputationalNeuroscience #Software #TutorialsLearningPortals visit https://openneuroscience.com
107,0,Kilosort https://github.com/MouseLand/Kilosort  ... 🧵
107,1,"Kilosort is a software package for identifying neurons and their spikes in extracellular electrophysiology, a process known as ""spike sorting""."
107,2,"Kilosort has been primarily developed and tested on the Neuropixels 1.0 probes, but is now used on data acquired with a wide variety of ephys methods, from Utah arrays to tetrodes and to the latest Neuropixels 2.0 probes."
107,3,"Spike sorting consists of several largely-independent steps: data preprocessing, drift correction, spike clustering, template matching, and results postprocessing. There have been several versions of Kilosort, improving on various aspects of these steps, and we are currently on version v3. In many cases, and especially for Neuropixels probes, the automated output of Kilosort3 requires minimal manual curation."
107,4,"The main change from v2.5 is a completely new and much more sophisticated clustering algorithm. To learn about Kilosort2.5, the primary reference is the Neuropixels 2.0 paper. Kilosort2.5 improves on Kilosort2 primarily in the type of drift correction we use."
107,5,"Where Kilosort2 modified templates as a function of time/drift (a drift tracking approach), Kilosort2.5 corrects the raw data directly via a sub-pixel registration process (a drift correction approach)."
107,6,"All versions of Kilosort so far have been developed and released in Matlab. However, we are advancing towards Python releases of the codebase, including of older version like Kilosort 2 and 2.5 (available here: https://github.com/MouseLand/pykilosort/tree/master/pykilosort)."
107,7,For this and other projects related to #Software #HumanElectrophysiology #AnimalElectrophysiology #ComputationalNeuroscience visit https://openneuroscience.com
108,0,CellExplorer - Framework for analyzing single cells https://cellexplorer.org/  ... 🧵
108,1,"The large diversity of cell-types of the brain, provides the means by which circuits perform complex operations. Understanding such diversity is one of the key challenges of modern neuroscience."
108,2,"Neurons have many unique electrophysiological and behavioral features from which parallel cell-type classification can be inferred. To address this, we built CellExplorer, a framework for analyzing and characterizing single cells recorded using extracellular electrodes."
108,3,"It can be separated into three components: a standardized yet flexible data structure, a single yet extensive processing module, and a powerful graphical interface."
108,4,"Through the processing module, a high dimensional representation is built from electrophysiological and functional features including the spike waveform, spiking statistics, monosynaptic connections, and behavioral spiking dynamics."
108,5,"The user-friendly interactive graphical interface allows for classification and exploration of those features, through a rich set of built-in plots, interaction modes, cell grouping, and filters. Powerful figures can be created for publications. Opto-tagged cells and public access to reference data have been incorporated to help you characterize your data better."
108,6,"The framework is built entirely in MATLAB making it fast and intuitive to implement and incorporate CellExplorer into your pipelines and analysis scripts. You can expand it with your metrics, plots, and opto-tagged data."
108,7,For this and other projects related to #Software #Behaviour #DataAnalysis visit https://openneuroscience.com
109,0,PyControl https://pycontrol.readthedocs.io/en/latest/  ... 🧵
109,2,"Open source, Python based, behavioural experiment control.  pyControl is a system of open source hardware and software for controlling behavioural experiments, built around the Micropython microcontroller.  pyControl makes it easy to program complex behavioural tasks using a clean, intuitive, and flexible syntax for specifying tasks as state machines. User created task definition files, written in Python, run directly on the microcontroller, supported by pyControl framework code."
109,4,"This gives users the power and simplicity of Python for specifying task behaviour, while allowing advanced users low-level access to the microcontroller hardware.  pyControl hardware consists of a breakout board and a set of devices such as nose-pokes, audio boards, LED drivers, rotary encoders and stepper motor controllers that are connected to the breakout board to create behavioural setups."
109,5,Assembled pyControl hardware is available from the OpenEphys store.  pyControl has a Graphical User Interface for controlling experiments and visualing behaviour.
109,6,For this and other projects related to #Behaviour #Hardware #Software visit https://openneuroscience.com
11,0,VocalMat https://www.dietrich-lab.org/vocalmat  ... 🧵
11,1,"Mice emit ultrasonic vocalizations (USV) to transmit socially-relevant information. To detect and classify these USVs, here we describe the development of VocalMat."
11,2,"VocalMat is a software that uses image-processing and differential geometry approaches to detect USVs in audio files, eliminating the need for user-defined parameter tuning. VocalMat also uses computational vision and machine learning methods to classify USVs into distinct categories."
11,3,"In a dataset of >4,000 USVs emitted by mice, VocalMat detected more than >98% of the USVs and accurately classified ≈86% of USVs when considering the most likely label out of 11 different USV types."
11,4,"We then used Diffusion Maps and Manifold Alignment to analyze the probability distribution of USV classification among different experimental groups, providing a robust method to quantify and qualify the vocal repertoire of mice. Thus, VocalMat allows accurate and highly quantitative analysis of USVs, opening the opportunity for detailed and high-throughput analysis of this behavior."
11,5,For this and other projects related to #Hardware #Behaviour visit https://openneuroscience.com
110,0,Building a Simple and Versatile Illumination System for Optogenetic Experiments https://github.com/BreakLiquid/LED-Control-User-Interfaces  ... 🧵
110,1,Controlling biological processes using light has increased the accuracy and speed with which researchers can manipulate many biological processes.
110,2,"Optical control allows for an unprecedented ability to dissect function and holds the potential for enabling novel genetic therapies. However, optogenetic experiments require adequate light sources with spatial, temporal, or intensity control, often a bottleneck for researchers."
110,3,Here we detail how to build a low-cost and versatile LED illumination system that is easily customizable for different available optogenetic tools. This system is configurable for manual or computer control with adjustable LED intensity.
110,4,"We provide an illustrated step-by-step guide for building the circuit, making it computer-controlled, and constructing the LEDs. To facilitate the assembly of this device, we also discuss some basic soldering techniques and explain the circuitry used to control the LEDs."
110,5,"Using our open-source user interface, users can automate precise timing and pulsing of light on a personal computer (PC) or an inexpensive tablet. This automation makes the system useful for experiments that use LEDs to control genes, signaling pathways, and other cellular activities that span large time scales."
110,6,"For this protocol, no prior expertise in electronics is required to build all the parts needed or to use the illumination system to perform optogenetic experiments."
110,7,For this and other projects related to #Hardware visit https://openneuroscience.com
111,0,NEUROTWIN https://www.neurotwin-seminars.com/  ... 🧵
111,1,"The NEUROTWIN project is a scientific collaboration between the Transylvanian Institute of Neuroscience (TINS) from Cluj-Napoca, Romania, and three internationally acclaimed European institutions."
111,2,"The project is funded through the Twinning instrument, call H2020-WIDESPREAD-2020-5, of the European Union. Its goal is to advance the neuroscientific research of the TINS institute, increase its international visibility, and develop its intellectual property and technology transfer procedures."
111,3,"Overall, the project will consolidate a pole for neuroscience development in Eastern Europe by providing increased capacity to perform cutting-edge research."
111,4,"Within the project, we are launching the TINS Neuroscience Seminar Series with the hope to shine a light on the fascinating world of Neuroscience. Our series brings together elite researchers in the field to build an impressive overview of cutting-edge techniques and findings about neural function."
111,5,"Our goal is to bring the field of Neuroscience closer to those who embrace this passion, especially in places where the field is largely under-represented. We strive to inspire students, researchers, and industry workers worldwide to join us in the quest of understanding the brain."
111,6,For this and other projects related to #Benchtop #Hardware #MolecularBiology visit https://openneuroscience.com
112,0,"Mobilefuge: Low-cost, Open-source 3D-printed centrifuge https://www.medrxiv.org/content/10.1101/2021.01.06.21249280v1  ... 🧵"
